"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"184"	"ENSMUSG00000026187"	"Xrcc5"	0.578988248047302	"intermediate"	"sCs.D7"	1	0.910275881977278
"185"	"ENSMUSG00000026189"	"Pecr"	0.541558222756431	"intermediate"	"FAPs.D7"	1	0.566364538802284
"186"	"ENSMUSG00000026192"	"Atic"	0.39237643794435	"housekeeping"	"FAPs.D2"	1	1.42540286947913
"187"	"ENSMUSG00000026193"	"Fn1"	0.494777789813254	"housekeeping"	"FAPs.D7"	1	3.21192458810412
"188"	"ENSMUSG00000026196"	"Bard1"	0.538153752996206	"intermediate"	"sCs.D2"	1	0.515443791824076
"189"	"ENSMUSG00000026197"	"Zfand2b"	0.225924746032172	"housekeeping"	"M2.D2"	1	0.866982757210053
"190"	"ENSMUSG00000026199"	"Ankzf1"	0.264718756670547	"housekeeping"	"FAPs.D0"	1	0.868468114835369
"191"	"ENSMUSG00000026200"	"Glb1l"	0.395789323289693	"housekeeping"	"FAPs.D7"	1	1.21951697691726
"192"	"ENSMUSG00000026202"	"Tuba4a"	0.302225252517162	"housekeeping"	"M1.D2"	1	1.12424670357519
"193"	"ENSMUSG00000026204"	"Ptprn"	0.71053797558767	"intermediate"	"FAPs.D4"	1	0.530130149950708
"194"	"ENSMUSG00000026207"	"Speg"	0.691492968147251	"intermediate"	"sCs.D0"	1	1.16528363555549
"195"	"ENSMUSG00000026208"	"Des"	0.621717255510913	"intermediate"	"sCs.D7"	1	1.72782985782283
"196"	"ENSMUSG00000026209"	"Dnpep"	0.292303668412874	"housekeeping"	"FAPs.D4"	1	1.26487501063923
"197"	"ENSMUSG00000026211"	"Obsl1"	0.721463197174077	"intermediate"	"FAPs.D7"	1	1.24783256746054
"198"	"ENSMUSG00000026219"	"Trip12"	0.168254297545115	"housekeeping"	"FAPs.D7"	1	1.84644491206782
"199"	"ENSMUSG00000026222"	"Sp100"	0.28817726343422	"housekeeping"	"M2.D2"	1	2.24950262706873
"200"	"ENSMUSG00000026224"	"4933407L21Rik"	0.800384442656515	"specific"	"ECs.D2"	1	0.513031388132987
"201"	"ENSMUSG00000026229"	"Psmd1"	0.200175800021192	"housekeeping"	"FAPs.D2"	1	1.55529961779084
"202"	"ENSMUSG00000026234"	"Ncl"	0.210352352909809	"housekeeping"	"FAPs.D2"	1	2.06399779126725
"203"	"ENSMUSG00000026235"	"Epha4"	0.622753006836312	"intermediate"	"FAPs.D7"	1	1.14088869310231
"204"	"ENSMUSG00000026239"	"Pde6d"	0.19792696934173	"housekeeping"	"FAPs.D0"	1	1.13942653955493
"205"	"ENSMUSG00000026240"	"Cops7b"	0.224007689486986	"housekeeping"	"FAPs.D4"	1	0.623735662267381
"206"	"ENSMUSG00000026241"	"Nppc"	0.831714808224587	"specific"	"sCs.D0"	1	0.601042638019645
"207"	"ENSMUSG00000026245"	"Farsb"	0.185960273287163	"housekeeping"	"FAPs.D2"	1	1.29020284280756
"208"	"ENSMUSG00000026249"	"Serpine2"	0.596208219994483	"intermediate"	"FAPs.D0"	1	2.32902004377567
"209"	"ENSMUSG00000026251"	"Chrnd"	0.923012340105354	"specific"	"sCs.D2"	1	0.678767948243562
"210"	"ENSMUSG00000026254"	"Eif4e2"	0.182176116898821	"housekeeping"	"FAPs.D2"	1	1.50117657713267
"211"	"ENSMUSG00000026255"	"Efhd1"	0.846313803043407	"specific"	"FAPs.D0"	1	1.66462335503277
"212"	"ENSMUSG00000026259"	"Ngef"	0.943971678971143	"specific"	"FAPs.D0"	1	0.339268061639432
"213"	"ENSMUSG00000026269"	"Rnpepl1"	0.192917936360142	"housekeeping"	"M1.D2"	1	1.23481114279735
"214"	"ENSMUSG00000026271"	"Gpr35"	0.769895487991874	"intermediate"	"M2.D4"	1	1.60048575989224
"215"	"ENSMUSG00000026273"	"Mterf4"	0.464945605325661	"housekeeping"	"FAPs.D0"	1	1.02325464272033
"216"	"ENSMUSG00000026274"	"Pask"	0.756797657575585	"intermediate"	"FAPs.D4"	1	0.909232141760674
"217"	"ENSMUSG00000026275"	"Ppp1r7"	0.349960369324574	"housekeeping"	"FAPs.D2"	1	0.82858386592523
"218"	"ENSMUSG00000026276"	"Septin2"	0.232170288481096	"housekeeping"	"FAPs.D7"	1	1.94686705946631
"219"	"ENSMUSG00000026277"	"Stk25"	0.227209675421689	"housekeeping"	"FAPs.D0"	1	1.29047261729348
"220"	"ENSMUSG00000026279"	"Thap4"	0.305099749276719	"housekeeping"	"FAPs.D7"	1	0.728849835665627
"221"	"ENSMUSG00000026281"	"Dtymk"	0.303741511062991	"housekeeping"	"FAPs.D2"	1	1.24961666924152
"222"	"ENSMUSG00000026283"	"Ing5"	0.250525153766782	"housekeeping"	"FAPs.D0"	1	0.715215406251181
"223"	"ENSMUSG00000026288"	"Inpp5d"	0.618747038705328	"intermediate"	"M2.D2"	1	1.97314049903985
"224"	"ENSMUSG00000026303"	"Mlph"	0.869183913882704	"specific"	"sCs.D0"	1	0.22037052895484
"225"	"ENSMUSG00000026307"	"Scly"	0.24192341240713	"housekeeping"	"M2.D2"	1	1.00298456974521
